"","","","","DIA_Czeladnik2_HELLO1"
"Apprentice","Hey! Gladiator.                                                                                                                     ","DIA_Czeladnik2_HELLO1_03_01"
"Romulus","","Ja?                                                                                                                     ","DIA_Czeladnik2_HELLO1_15_02"
"Apprentice","Das war ein glänzender Sieg. Herzlichen Glückwunsch, ich feuere dich absofort an.                                                                                                                     ","DIA_Czeladnik2_HELLO1_03_03"
"Romulus","","Ich bin sehr zufrieden mit dem Kampf.                                                                                                                     ","DIA_Czeladnik2_HELLO1_15_04"
"Romulus","","Brauchst du etwas?                                                                                                                     ","DIA_Czeladnik2_HELLO1_15_05"
"Apprentice","Hör zu, schätzt du dein können selbst hoch ein?                                                                                                                     ","DIA_Czeladnik2_HELLO1_03_06"
"Romulus","","Es kommt darauf an, um was es geht.                                                                                                                     ","DIA_Czeladnik2_HELLO1_15_07"
"Apprentice","Ich habe ein kleines Problem und kann mich nicht an die Wachen wenden, weil die Faulen Säcke keinen Finger rühren, und der Jäger irgendwo ausgewandert ist.                                                                                                                     ","DIA_Czeladnik2_HELLO1_03_08"
"Apprentice","Ich muss ein paar frische Heilpflanzen von der Lichtung sammeln, aber es wimmelt nur so von diesen gottverdammten Wölfen.                                                                                                                     ","DIA_Czeladnik2_HELLO1_03_09"
"Apprentice","Könntest du diese Kreaturen für 300 Gold loswerden und mir ein Dutzend Pflanzen bringen?                                                                                                                     ","DIA_Czeladnik2_HELLO1_03_10"

"","","","","DIA_Czeladnik2_HELLO1_A1"
"Romulus","","Sicher!                                                                                                                     ","DIA_Czeladnik2_HELLO1_A1_15_01"
"Apprentice","Das ist großartig. Die Lichtung liegt etwas außerhalb des Dorfes, du kannst die Wölfe wahrscheinlich sogar von hier aus sehen!                                                                                                                     ","DIA_Czeladnik2_HELLO1_A1_03_02"
"Apprentice","Viel Glück.                                                                                                                     ","DIA_Czeladnik2_HELLO1_A1_03_03"

"","","","","DIA_Czeladnik2_HELLO1_A2"
"Romulus","","Nein, kein interesse.                                                                                                                     ","DIA_Czeladnik2_HELLO1_A2_15_01"
"Apprentice","Verdammt!                                                                                                                     ","DIA_Czeladnik2_HELLO1_A2_03_02"

"","","","","DIA_Czeladnik2_HELLO2"
"Romulus","","Ich habe die Pflanzen.                                                                                                                     ","DIA_Czeladnik2_HELLO2_15_01"
"Apprentice","Vielen Dank für deine Hilfe. Hier hast du deinen Lohn.                                                                                                                     ","DIA_Czeladnik2_HELLO2_03_02"

"","","","",""

